suite,family,graph_id,graph_seed,density,case,layers,method,compiler_seed,route_mode,selector_reason,native_2q,cx,depth,twoq_depth,duration_us,router_seconds,level3_seconds,total_compile_seconds,swaps_before_level3,state_error,total_variation,ideal_cut,compiled_ideal_cut,noise_simulated,shots,noisy_cut,noisy_minus_ideal,simulator_seconds,final_positions
balanced,very_sparse15,80002,20340926,0.15,qaoa_p2,2,stock_level3,29,stock_qiskit,stock Qiskit Level 3 baseline,127,127,82,49,21.098666666666677,0.0,0.01174400000309106,0.012460800004191697,0,6.874935003910907e-15,6.3898131363117446e-15,8.5354358897264,8.535435889726513,False,0,nan,nan,0.0,"[5, 10, 1, 6, 0, 2, 12, 4, 8, 15, 3, 9, 7, 14, 13, 11]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p2,2,hybrid_level3,29,qiskit_fallback,density 0.150 is below the V4 window,127,127,82,49,21.098666666666677,0.0,0.011816700003691949,0.013141200004611164,0,6.874935003910907e-15,6.3898131363117446e-15,8.5354358897264,8.535435889726513,False,0,nan,nan,0.0,"[5, 10, 1, 6, 0, 2, 12, 4, 8, 15, 3, 9, 7, 14, 13, 11]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p2,2,stock_level3,47,stock_qiskit,stock Qiskit Level 3 baseline,129,129,82,48,18.296888888888898,0.0,0.014006500001414679,0.01522349999868311,0,6.626342376321216e-15,5.794850770275687e-15,8.5354358897264,8.5354358897265,False,0,nan,nan,0.0,"[11, 7, 12, 1, 6, 13, 4, 15, 8, 10, 14, 9, 0, 3, 2, 5]"
balanced,very_sparse15,80002,20340926,0.15,qaoa_p2,2,hybrid_level3,47,qiskit_fallback,density 0.150 is below the V4 window,129,129,82,48,18.296888888888898,0.0,0.011691599996993318,0.012950500007718801,0,6.626342376321216e-15,5.794850770275687e-15,8.5354358897264,8.5354358897265,False,0,nan,nan,0.0,"[11, 7, 12, 1, 6, 13, 4, 15, 8, 10, 14, 9, 0, 3, 2, 5]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p1,1,stock_level3,11,stock_qiskit,stock Qiskit Level 3 baseline,72,72,61,34,12.664888888888896,0.0,0.01263519999338314,0.013176799999200739,0,3.9523435314847995e-15,3.592880130878991e-15,7.138529353790317,7.138529353790364,False,0,nan,nan,0.0,"[2, 12, 15, 0, 11, 10, 3, 9, 5, 6, 8, 1, 13, 4, 7, 14]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p1,1,hybrid_level3,11,qiskit_fallback,density 0.150 is below the V4 window,72,72,61,34,12.664888888888896,0.0,0.010506899998290464,0.011485199996968731,0,3.9523435314847995e-15,3.592880130878991e-15,7.138529353790317,7.138529353790364,False,0,nan,nan,0.0,"[2, 12, 15, 0, 11, 10, 3, 9, 5, 6, 8, 1, 13, 4, 7, 14]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p1,1,stock_level3,29,stock_qiskit,stock Qiskit Level 3 baseline,73,73,58,36,13.575111111111118,0.0,0.008850800004438497,0.009373400011099875,0,4.385291917185463e-15,4.122035946000816e-15,7.138529353790317,7.138529353790372,False,0,nan,nan,0.0,"[15, 7, 14, 2, 13, 11, 0, 1, 4, 9, 6, 3, 12, 5, 8, 10]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p1,1,hybrid_level3,29,qiskit_fallback,density 0.150 is below the V4 window,73,73,58,36,13.575111111111118,0.0,0.00944809999782592,0.010266299999784678,0,4.385291917185463e-15,4.122035946000816e-15,7.138529353790317,7.138529353790372,False,0,nan,nan,0.0,"[15, 7, 14, 2, 13, 11, 0, 1, 4, 9, 6, 3, 12, 5, 8, 10]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p1,1,stock_level3,47,stock_qiskit,stock Qiskit Level 3 baseline,66,66,59,29,10.872888888888893,0.0,0.009647099999710917,0.010222900004009716,0,4.084628327134108e-15,3.696460330522602e-15,7.138529353790317,7.138529353790365,False,0,nan,nan,0.0,"[2, 15, 13, 9, 12, 11, 6, 1, 0, 5, 4, 3, 10, 14, 8, 7]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p1,1,hybrid_level3,47,qiskit_fallback,density 0.150 is below the V4 window,66,66,59,29,10.872888888888893,0.0,0.009394599997904152,0.010381000000052154,0,4.084628327134108e-15,3.696460330522602e-15,7.138529353790317,7.138529353790365,False,0,nan,nan,0.0,"[2, 15, 13, 9, 12, 11, 6, 1, 0, 5, 4, 3, 10, 14, 8, 7]"
